N34_index_degC	SLP_anoms_hPa
1.6049796	1.1785156052344976
1.4789337	1.0874012878689903
1.0845277	0.9430328158800713
0.5506445	0.7400970396481357
0.58849025	0.4821299415772706
0.31700537	0.18344072474330064
0.28827843	-0.13078142354187652
0.4275018	-0.42636092512758594
-0.16403718	-0.6645469172494393
0.15576093	-0.8087543269544483
0.0899786	-0.8317741945767295
0.28431582	-0.7209603164863969
0.40573168	-0.4801713449675495
0.5002264	-0.1290226621218934
0.08515998	0.29937688232475446
0.18380691	0.7616827400209096
-0.021255033	1.2086826147715515
-0.21624364	1.59079475007516
-0.39612693	1.8643887959126673
-0.30610752	1.9979825277737038
-0.45950007	1.9763255341132668
-0.14708842	1.800619311475319
-0.2724097	1.4854412712119933
-0.19311436	1.0548480714756503
-0.23906913	0.5395056278531929
-0.3785062	-0.02515904553398388
-0.04241144	-0.6006880033097373
0.13055025	-1.1478211599115715
0.07320111	-1.6294457431664002
-0.04698265	-2.0143307196654665
-0.13719821	-2.2810251853618264
0.12333614	-2.4204076063453153
-0.10867093	-2.4358380621188824
-0.3932269	-2.3413129646973267
-0.29805648	-2.158484012246083
-0.30060998	-1.912938102702812
-0.17464662	-1.630218865172089
-0.06262693	-1.332589507449716
-0.22134897	-1.0374262226728654
-0.08735542	-0.7573007421744511
-0.10258214	-0.5009140679870547
0.1904371	-0.27379590599720083
-0.18771414	-0.0783207892713355
-0.29422414	0.08653760621986414
-0.7256618	0.22492209360101792
-0.66444826	0.3427712843089444
-0.2937883	0.44569568814540667
-0.13586937	0.5369782381795755
-0.53875774	0.6167320524750848
-0.34393904	0.6826742960784962
-0.26281348	0.732129138153006
-0.50212574	0.7642300135594878
-0.36301473	0.7810724537363254
-0.07963009	0.7870709943250148
-0.1936976	0.7870784789410606
-0.21763727	0.7847083904654162
-0.5000143	0.7816584957734116
-0.4171623	0.7778101662043068
-0.5508561	0.7717873802678725
-0.85962665	0.7619321374176158
-0.53186524	0.7476212311413951
-0.29972437	0.7306996609123151
0.0031986067	0.7165844685059316
-0.04169219	0.7142612909484896
0.058157697	0.7343800637587005
0.019075599	0.7855467429590994
0.78832287	0.8704520976860435
0.75060683	0.9842038660448548
0.8734098	1.116094283651185
0.69349194	1.253940470497902
0.90444183	1.3887421535672615
0.8774292	1.517442535209906
0.94198966	1.642872865145897
0.5426476	1.7715627550927702
-0.06727211	1.910557606992036
-0.6122331	2.0637553916117257
-0.75640994	2.228385951198334
-0.8745179	2.3932822352791825
-0.8096045	2.54034184363422
-0.7946749	2.648459025801571
-1.095085	2.6977574076991844
-1.0114044	2.6729919271450204
-1.2841681	2.566528504408039
-1.0864427	2.3807869195731737
-0.55401504	2.1287261065891876
-0.2647875	1.8316385913444728
-0.25237134	1.5155806945553614
0.081589565	1.2083525836475049
0.25478607	0.9376319246497711
0.46772903	0.7295787000843933
0.82943946	0.6068671888999527
1.1515079	0.5854986793103037
1.3560078	0.6709060159493905
1.447062	0.855025194524432
1.3669837	1.115967888453984
1.5345584	1.4207682752452666
1.1603712	1.73050862470757
0.85250086	2.0065918991282077
0.85723925	2.2168216279715445
0.50262105	2.3399696432654555
-0.23586662	2.3679309162611246
0.31599525	2.3054443371212505
0.4184215	2.1677051031399133
-0.0019416831	1.9759366232510363
-0.12918016	1.7518251376599536
-0.22719078	1.5131869639908886
-0.35419825	1.272622761395121
-0.34668612	1.038657277958075
-0.47460344	0.8177806380913889
-0.42778218	0.616121610425571
-0.5667653	0.43987435064995517
-0.7022292	0.29418208469946083
-0.27958876	0.18122552849106965
0.031484485	0.09882401587447052
0.032317754	0.04034701434929122
